minimum_time,maximum_time,mean_time,median_time,variance_time,kurtosis_time,skewness_time,coeff_of_var_time,iqr_time,trimmed_mean_time,entropy_time,proportion_of_zeros,minimum_freq,maximum_freq,mean_freq,median_freq,variance_freq,kurtosis_freq,skewness_freq,coeff_of_var_freq,iqr_freq,trimmed_mean_freq,entropy_freq,spectral_flatness
0.0,328.35,31.199924,5.0916667,3153.3975,7.190452109021537,2.578165074644264,1.7957528,30.725000470876694,17.642805,6.190427462689555,0.2409090909090909,59806.285,2061930.1,398280.6,298927.53,190388440000.0,7.291065504018446,2.7760142643394796,1.0955473,287367.46875,300050.47,4.3834779827873875,0.7025647
0.0,336.93332,49.396667,17.333334,4467.797,4.833841940806768,2.110423398067075,1.349053,70.31667041778564,36.16453,6.335651676869921,0.08484848484848485,82265.78,1549862.9,538884.5,479231.03,92815565000.0,2.4439650838472673,1.5113224603131974,0.5653465,309022.75,495182.44,4.749760097254264,0.86333245
0.0,700.5,40.23987,4.2166667,8015.587,16.635083843440803,3.5544708663912146,2.219574,15.050000190734863,18.357397,5.677166223072908,0.2535885167464115,157667.7,5211974.5,1084782.2,782559.5,1183692100000.0,5.618143252614759,2.4391962256379793,1.0029442,731624.5,823190.25,4.438548547420167,0.71424484
0.0,346.31668,69.447174,63.283333,4541.489,1.8917396627847447,1.1672178674561096,0.96744096,103.7999975681305,60.893105,6.647755472696694,0.10303030303030303,14080.415,2678281.5,511953.12,314529.72,345050320000.0,6.626957662647083,2.673019319537751,1.1473899,343621.6484375,374474.16,4.321929175661907,0.65073
0.0,539.81665,107.633934,30.633333,17602.121,0.0677361500390754,1.088990052305853,1.2288907,205.8999948501587,87.20225,6.290043941652915,0.11515151515151516,155944.08,19213598.0,2074908.8,606154.4,17725708000000.0,9.565689006562842,3.266345303156705,2.0290968,1346851.390625,990179.5,3.444058180875373,0.37063563
0.0,437.65,59.453136,7.0666666,11925.94,2.10718288686018,1.8762739213433122,1.8312663,25.34999966621399,33.566418,5.6156580038530315,0.09090909090909091,34582.758,7403107.0,1252590.2,449297.47,3291409000000.0,4.845878411917193,2.3779833530085526,1.448378,1117289.3671875,782611.4,3.916268881557576,0.43291673
0.0,394.43332,39.453793,4.1583333,5777.17,4.786647842370031,2.2875401981647214,1.9221157,22.920833587646484,20.14479,5.934408585170351,0.3181818181818182,61614.67,3197221.5,635153.1,375804.2,526262200000.0,6.7800060288505986,2.7722000102536004,1.1421487,270644.0625,450801.6,4.356116574931019,0.6994783
0.0,297.28333,34.534748,14.383333,2770.0435,7.7955470123054535,2.7032755927200616,1.519382,23.250000476837158,22.30163,6.271841985816199,0.07272727272727272,37527.883,1806306.8,327203.38,149848.0,204535680000.0,4.472072397144801,2.4006204851809767,1.3821869,146131.96875,202414.52,4.067742945270297,0.57139164
0.0,277.58334,31.204338,9.174999,2492.7075,6.703836699559192,2.5022376229504557,1.5966934,31.024999618530273,19.372679,6.634394484516465,0.128099173553719,46175.082,784455.1,237333.23,170364.11,37913530000.0,1.069982582653048,1.4230793040515033,0.8204244,203882.90234375,204759.02,4.539191418843876,0.7404876
0.0,284.5,41.375454,13.0,3557.2217,4.066978305421577,2.040071762560944,1.4371188,49.79999899864197,28.585836,6.187270549150318,0.10303030303030303,49086.54,2495381.0,435800.12,197397.97,341762380000.0,5.334829115361535,2.4923517185529533,1.3414508,381796.80078125,282407.28,4.103712772732951,0.56966084
0.0,392.9,30.759594,7.3166666,3647.6323,14.101568761081698,3.4955893135934493,1.957514,31.500001072883606,16.47293,5.7671891658058385,0.12727272727272726,64650.004,1641120.1,493812.2,369553.47,153590810000.0,0.5374678857984718,1.095796373006906,0.79363495,468374.2265625,439841.9,4.533403514711739,0.7183532
0.0,353.81668,44.80606,12.916667,4566.886,3.060596199398895,1.8941692160714088,1.5046375,53.13333237171173,30.028303,6.410636800576709,0.1722488038277512,44275.234,2794176.5,508390.38,238297.08,425872420000.0,5.427183955387628,2.508347233023229,1.2836376,295309.2421875,338180.03,4.181115284580267,0.61629325
0.0,313.91666,47.598434,11.216666,4396.2944,2.4838062497574533,1.6536540580046883,1.3887712,84.66666460037231,34.985653,6.154168016442847,0.10909090909090909,30201.41,3137671.2,440079.66,211939.4,541561450000.0,8.141321205317363,3.018294461586011,1.6722168,388806.0,252917.98,3.7967357797283983,0.44757977
